Date,asset1,asset2,asset3,asset4,asset5,asset6,asset7,asset8
2012/1/5,990.27 ,1002.94 ,1000.00 ,999.72 ,1000.70 ,992.45 ,1013.79 ,1022.20 
2012/1/6,996.45 ,1000.40 ,1001.37 ,1002.81 ,1002.30 ,992.45 ,1020.08 ,1015.55 
2012/1/9,1030.37 ,1002.66 ,1002.75 ,1003.65 ,1005.39 ,982.68 ,1010.25 ,1024.99 
2012/1/10,1064.64 ,1011.57 ,1003.12 ,1000.94 ,1006.89 ,982.68 ,1016.24 ,1023.01 
2012/1/11,1059.54 ,1011.88 ,1001.56 ,1001.69 ,1005.29 ,991.56 ,1026.62 ,1025.52 
2012/1/12,1059.37 ,1014.25 ,1002.02 ,1003.19 ,1003.50 ,1000.00 ,1032.51 ,1028.59 
2012/1/13,1041.58 ,1009.23 ,1000.00 ,1002.91 ,1002.30 ,1013.32 ,1026.99 ,1018.88 
2012/1/16,1020.40 ,1009.23 ,1001.47 ,1002.91 ,1002.30 ,1014.65 ,1031.90 ,1018.72 
2012/1/17,1070.41 ,1012.82 ,1002.11 ,1003.28 ,1003.00 ,1033.30 ,1038.65 ,1024.29 
2012/1/18,1053.70 ,1024.07 ,1000.00 ,1004.22 ,1002.10 ,1039.96 ,1037.12 ,1017.10 
2012/1/19,1073.78 ,1029.12 ,1004.03 ,1005.25 ,1002.60 ,1055.51 ,1043.26 ,1014.73 
2012/1/20,1089.33 ,1029.81 ,1003.85 ,1005.53 ,1004.10 ,1063.94 ,1037.73 ,1018.33 
2012/1/30,1070.46 ,1027.96 ,1003.39 ,1005.72 ,1006.39 ,1069.27 ,1085.66 ,1008.24 
2012/1/31,1072.00 ,1027.49 ,1003.21 ,1004.50 ,1006.39 ,1055.95 ,1086.24 ,1006.42 
2012/2/1,1056.66 ,1036.63 ,1001.28 ,1001.87 ,1003.10 ,1048.40 ,1090.00 ,1007.15 
2012/2/2,1081.56 ,1037.77 ,999.82 ,1001.50 ,1002.90 ,1046.18 ,1090.85 ,1011.31 
2012/2/3,1090.20 ,1052.92 ,1000.00 ,1000.00 ,1002.90 ,1045.74 ,1094.69 ,1011.75 
2012/2/6,1089.43 ,1052.48 ,998.17 ,998.88 ,1001.20 ,1059.50 ,1084.09 ,1028.44 
2012/2/7,1069.26 ,1054.61 ,997.43 ,998.69 ,999.80 ,1055.95 ,1074.88 ,1044.26 
2012/2/8,1099.83 ,1056.89 ,995.97 ,997.47 ,998.30 ,1056.84 ,1090.82 ,1048.32 
2012/2/9,1100.26 ,1058.44 ,993.77 ,994.75 ,997.80 ,1075.49 ,1082.25 ,1054.46 
2012/2/10,1102.17 ,1051.15 ,994.04 ,996.06 ,997.80 ,1077.62 ,1080.72 ,1061.53 
